Name,Count
U.S.A,16
Youngstown,12
Atlantic City,11
Memphis,9
Jersey,8
Beale,4
Philadelphia,3
Ohio,2
Kingstown,2
California,2
Zanzibar,1
Philly,1
Coast City,1
Saigon,1
Baltimore,1
Perrineville,1
Michigan,1
Michigan County,1
Utah,1
Waynesboro county,1
