Name,Count
America,22
Las Vegas,19
Detroit,4
Salem,3
LA,3
Krytopn,2
Sweden,2
Denver,2
Compton,2
Vietnam,2
Arizona,2
California,1
Soho,1
Miami,1
Boston,1
Atlanta,1
Japan,1
Brooklyn,1
